Facultad,Instituto,Proyecto
CIENCIAS,Centro de Investigaciones de Biología Marina,Restauración y actualización de la Colección de Moluscos Marinos del CIBIMA
CIENCIAS,Centro de Investigaciones de Biología Marina,"Dinámica Geomorfológica, Sedimentaria y el Impacto del Cambio Climático sobre las Playas del Tramo Costero de Cabo Rojo, Bahía de las Águilas y Trudillé, Provincia Pedernales, R. D., Durante 2023-2025"
CIENCIAS,Centro de Investigaciones de Biología Marina,"Prevalencia de enfermedades en los arrecifes de coral en las localidades Caobita, Azua y San Andrés, Boca Chica."
CIENCIAS,Centro Nacional de Sismología,Determinación de los riesgos Sísmico y de tsunami en las zonas costeras y establecimiento de un Sistema de Alerta Temprana en República Dominicana
CIENCIAS,Centro Nacional de Sismología,Construcción de un catálogo completo de terremotos para la República Dominicana para la mitigación de riesgos sísmicos y estudios tectónicos.
CIENCIAS,Esc. Biología,"Determinación de la frecuencia, distribución geográfica y variantes genéticas de la b-talasemia y otras anemias en la República Dominicana"
CIENCIAS,Instituto de Física,Estudio de dosímetros termoluminiscentes a partir de nuevos materiales para servicios en el sector salud
CIENCIAS,Instituto de Física,Estudios de durabilidad y reproducibilidad de micro/nanosensores embebidos en hormigón para aplicaciones en monitorización estructural
CIENCIAS,Instituto de Física,Propiedades termoconductoras de estructuras de grafeno multicapas
CIENCIAS,Instituto de Física,"Cinética de adsorción, migración superficial y propiedades de saturación desde dímeros semirrígidos en multicapas en equilibrio"
CIENCIAS,Instituto de Física,"Deposición de láminas flexibles en multicapas: percolación, cinética de crecimiento, rugosidad y saturación"
CIENCIAS,Instituto de Física,Contaminación del aire por metales pesados y radionúclidos en aerosoles atmosféricos de zonas urbanas: Contribución a la gestión de la calidad del aire del Distrito Nacional
CIENCIAS,Instituto de Física,Bioimpedancia eléctrica en pacientes con cáncer.
CIENCIAS,Instituto de Física,Materiales inteligentes en la monitorización de la salud estructural de infraestructuras civiles y de transporte
CIENCIAS,Instituto de Física,Concepciones Previas de Cinemática y Leyes de Newton en Estudiantes de Ciencias e Ingeniería
CIENCIAS,Instituto de Física,Adsorción de moléculas poliatómicas puras y sus mezclas sobre superficies sólidas: teoría y simulación de Monte Carlo
CIENCIAS,Instituto de Física,Mejorando la enseñanza de Física en América Latina: Identificación de características de Docentes y Centros Educativos mediante Machine Learning y la Base de Datos de PISA
CIENCIAS,Instituto de Física,Aula invertida como innovación en la enseñanza de la Física y su impacto en el rendimiento académico de los estudiantes de la UASD Recinto San Francisco de Macorís y Sede Central: propuesta de intervención
CIENCIAS,Instituto de Física,"Evaluación de metales pesados en aire, suelo y sedimentos en áreas adyacentes a la central termoeléctrica Punta Catalina, Bani, República Dominicana"
CIENCIAS,Instituto de Investigaciones Botánicas y Zoológicas,Creando conocimiento sobre los polinizadores del cacao en sistemas agroforestales de la República Dominicana a fin de mejorar las prácticas de manejo
CIENCIAS,Instituto de Investigaciones Botánicas y Zoológicas,Biodiversity data mobilization in natural history state collections of the Dominican Republic
CIENCIAS,Instituto de Investigaciones Botánicas y Zoológicas,"Malacofauna dulceacuícola de la República Dominicana: Biomonitoreo, amenazas y estado de conservación. Tres décadas de vacío de información"
CIENCIAS,Instituto de Matemáticas,Evaluación de Polinomios y la Función ∅ de Euler
CIENCIAS,Instituto de Matemáticas,Caracterización del menor residuo cuadrático modulo P.
CIENCIAS,Instituto de Matemáticas,Un modelo matemático para predecir el comportamiento de la epidemia de coronavirus (COVID-19) en República Dominicana
CIENCIAS,Instituto de Matemáticas,Ortogonalidad tipo Sobolev y aproximación racional
CIENCIAS,Instituto de Matemáticas,Series de Fourier-Sobolev para productos Discreto-Continuos
CIENCIAS,Instituto de Matemáticas,Polinomios extremales con respecto a normas de Sobolev y aplicaciones
